varname,vardesc,years.avail
priority,Estimated percentage who say a candidate's views on GW are important to their vote,2020
priorityOppose,Estimated percentage who do not say a candidate's views on GW are important to their vote,2020
rebates,Estimated percentage who somewhat/strongly support providing tax rebates for people who purchase energy-efficient vehicles or solar panels,"2018, 2019, 2020"
rebatesOppose,Estimated percentage who somewhat/strongly oppose providing tax rebates for people who purchase energy-efficient vehicles or solar panels,"2018, 2019, 2020"
reducetax,Estimated percentage who somewhat/strongly support requiring fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount,"2018, 2019, 2020"
reducetaxOppose,Estimated percentage who somewhat/strongly oppose requiring fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount,"2018, 2019, 2020"
regulate,Estimated percentage who somewhat/strongly support regulating CO2 as a pollutant,"2014, 2016, 2018, 2019, 2020"
regulateOppose,Estimated percentage who somewhat/strongly oppose regulating CO2 as a pollutant,"2014, 2016, 2018, 2019, 2020"
Statecode,Geographic level,"2014, 2016"
Statename,Geographic name,"2014, 2016"
supportRPS,Estimated percentage who somewhat/strongly support requiring utilities to produce 20% electricity from renewable sources,"2014, 2016, 2018, 2019, 2020"
supportRPSOppose,Estimated percentage who somewhat/strongly oppose requiring utilities to produce 20% electricity from renewable sources,"2014, 2016, 2018, 2019, 2020"
taxdividend,Estimated percentage of population who somewhat/strongly support a carbon tax if refunded to every American household ,2014
taxdividendOppose,Estimated percentage of population who somewhat/strongly oppose a carbon tax if refunded to every American household ,2014
teachGW,"Estimated percentage who somewhat/strongly agree that schools should teach about the causes, consequences, and potential solutions to global warming","2018, 2019, 2020"
teachGWOppose,"Estimated percentage who somewhat/strongly disagree that schools should teach about the causes, consequences, and potential solutions to global warming","2018, 2019, 2020"
timing,Estimated percentage who think global warming will start to harm people in the United now/within 10 years,"2014, 2016, 2018, 2019, 2020"
timingOppose,"Estimated percentage who think global warming will start to harm people in the United in 25 years or longer, or never","2014, 2016, 2018, 2019, 2020"
TotalPop,Total population,"2014, 2016, 2018, 2019, 2020"
trustclimsciSST,Estimated percentage who somewhat or strongly trust climate scientists as a source of information about global warming,2016
trustclimsciSSTOppose,Estimated percentage who somewhat or strongly distrust climate scientists as a source of information about global warming,2016
worried,Estimated percentage who are somewhat/very worried about global warming,"2014, 2016, 2018, 2019, 2020"
worriedOppose,Estimated percentage who are not very/not at all worried about global warming,"2014, 2016, 2018, 2019, 2020"
